Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP? ,Município de residência,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual sua nacionalidade?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.","Algum de seus pais ou responsável possui ensino superior completo? Se sim, quem? ",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual renda per capita familiar?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal?,Você enfrenta dificuldades no uso de tecnologias digitais aplicadas ao seu curso de graduação?  ,Você pratica alguma atividade física?,Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual?",Você segue a FMP nas redes sociais?,Qual meio de comunicação você mais usa para se informar?
04/10/2025 22:16:49,Amigos/familiares,Florianópolis,Não moro,2024/02,Pedagogia,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro de forma compartilhada com colegas/amigos estrangeiros em residência própria,"Moto, Ônibus",Sim,Sim,Não,Sim,Sim,Moro longe,Sim,"Whatsapp, Youtube"
04/10/2025 23:32:03,"Redes sociais, Sites da FMP",Palhoça,São Sebastião,2025/01,Pedagogia,Brasileira,Entre 51 e 55 anos,Parda,Feminino,Não,,Escola pública,Pós Graduação,Recursos humanos,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão, Whatsapp, Youtube"
05/10/2025 00:46:22,Redes sociais,São José,Não moro,2025/01,Pós Graduação em Gestão Escolar,Brasileira,Entre 40 e 45 anos,Parda,Feminino,Sim,1,Escola pública,Superior Completo,,Não,Sim,,Sim,Sim,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Ônibus,Sim,Sim,Não,Sim,Sim,"A distância,o deslocamento, trânsito caótico. Moro em São José, trabalho no centro de Florianópolis e faço a pós na Palhoça",Sim,Redes Sociais
05/10/2025 07:47:18,Sites da FMP,Palhoça,Passa Vinte,2021/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 51 e 55 anos,Branca,Masculino,Não,1,Escola pública,Superior Completo,Gestão hoteleira,Não,Não,,Sim,Não,Autônomo(a),indefinido,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"A pé, Ônibus, Aplicativo de transporte",Sim,Sim,Sim,Sim,Sim,já tenho mais de 50 anos,Sim,"Redes Sociais, Televisão, Whatsapp, Youtube"
05/10/2025 10:06:08,Amigos/familiares,Palhoça,Enseada do Brito,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,De forma mista,Ensino Médio,,Não,Sim,altismo,Não,Não,Desempregado(a)/Só estudo,indefinido,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Sim,Não,Não,,Não,Redes Sociais
05/10/2025 14:29:27,Amigos/familiares,Palhoça,Bela Vista,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Autônomo(a),4 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Moto,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
05/10/2025 17:02:05,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola particular,Ensino Médio,Tecnico em Agronegocio,"Sim, o pai",Não,,Não,Não,Do lar,indefinido,Prefiro não responder,Moro com a família em residência alugada,"A pé, Carro, Moto",Sim,Sim,Sim,Sim,Não,,Sim,"Rádio, Redes Sociais, Televisão, Whatsapp"
05/10/2025 17:06:24,Redes sociais,Palhoça,Bela Vista,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Não,Não,,Sim,Redes Sociais
05/10/2025 18:19:18,Outros,Palhoça,Pagani,2024/01,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,Letras-Inglês,Não,Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Carro,Sim,Sim,Não,Sim,Não,,Não,Redes Sociais
05/10/2025 19:00:24,Amigos/familiares,Palhoça,Centro,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,Direito,Não,Não,,Sim,Não,Funcionário(a) Público(a),indefinido,De 4 a 6 salários mínimos,Moro sozinho/a em residência própria,"Bicicleta, Carro",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Youtube"
05/10/2025 19:11:56,Outros,Palhoça,Barra do Aririú,2021/01,Pedagogia,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Sim,1,Escola pública,Pós Graduação,Gestão de Recursos Humanos,Não,Não,,Sim,Sim,Funcionário(a) Público(a),8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Rádio, Redes Sociais, Televisão"
05/10/2025 19:55:44,Amigos/familiares,Palhoça,Madri,2025/02,Pedagogia,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,Graduacao tecnologica em gestao de marketing,Não,Não,Talvez dilexia,Não,Não,Do lar,indefinido,Prefiro não responder,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Não,Não,Sim,Distância,Sim,Redes Sociais
05/10/2025 20:22:50,Amigos/familiares,Santo Amaro da Imperatriz,Não moro,2024/01,Pós Graduação em Gestão Empresarial,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,Engenheira de Produção com MBA em Gestão de Produção e Qualidade,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
05/10/2025 22:35:34,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,De 4 a 6 salários mínimos,Moro com a família em residência alugada,"A pé, Carro",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp"
06/10/2025 05:05:41,Amigos/familiares,São José,Não moro,2023/02,Pedagogia,Brasileira,Acima de 56 anos,Branca,Feminino,Sim,4,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Sim,Sim,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Youtube"
06/10/2025 08:16:01,"Redes sociais, Amigos/familiares",Palhoça,Enseada do Brito,2023/02,Administração,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,"Carro, Ônibus",Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
06/10/2025 08:57:13,Amigos/familiares,Palhoça,São Sebastião,2024/01,Pedagogia,Brasileira,Entre 34 e 39 anos,Parda,Feminino,Não,,Escola pública,Superior Completo,ADM,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Televisão, Whatsapp, Youtube"
06/10/2025 09:33:01,"Amigos/familiares, Outros",Palhoça,Madri,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Bicicleta,Sim,Não,Sim,Não,Não,,Não,"Jornais/revistas, Televisão"
06/10/2025 09:33:20,Redes sociais,Palhoça,Praia de Fora,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 51 e 55 anos,Branca,Feminino,Sim,3,Escola pública,Pós Graduação,Serviço Social,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,"Rádio, Redes Sociais, Televisão"
06/10/2025 09:34:46,Amigos/familiares,São José,Não moro,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Branca,Masculino,Não,,De forma mista,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Rádio, Youtube"
